,Roles,Companies,Locations,Requirements
1955,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1956,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1957,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1958,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1959,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1960,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1961,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1962,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1963,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1964,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1965,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1966,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1967,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1968,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1969,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1970,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1971,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1972,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1973,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
1974,"Sales Representative at Lorache Limited - Jos, Warri, Kwara,...",careersome,Jos,"Bachelor of Arts or sciences degree;
We seek to employ the service of an experienced Sales Representative who is passionate about market penetration, who…"
1975,Android/iOS and API Developer at GVA Partners,careersome,Lagos,"BSc/BA in Computer Science, Engineering or a related field.
A solid grasp of programming fundamentals including algorithms, data structures, OS, I/O,…"
1976,DevOps (Kubernetes - onsite Singapore),NEXLE CORPORATION,Lau,"BS in Computer Science, or equivalent.
Help to recover from data corruption or accidental deletion.
539 Lầu 3, Gmg Building, Lý Thường Kiệt, Tan Binh, Ho Chi…"
1977,Android /Java Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1978,Front-end Developer at Parkway Projects Limited,careersome,Lagos,"BSc in Computer Science and other related Course.
Prototype and build interactive sites, with consistent behaviour across browsers, and managing user data."
1979,Android Application Developer at Jiocad Technologies,careersome,Abuja,"Degree/Equivalent in Computer Science, Engineering or a related subject.
Work with outside data sources and API’s Integrating with Restful web services."
1980,Web Developer/Programmer at Superflux International Limited,careersome,Lagos,"Minimum of First Degree in Computer Science.
Integrate data from various back-end services and databases.
Superflux International Limited, a print solutions…"
1981,Finance Officer at Catholic Relief Services,careersome,Abuja,"Society for Family Health (SFH), Management Sciences for Health (MSH), and Malaria Consortium (MC)).
Help ensure maintenance of all data required for processing…"
1982,Enterprise Systems Developer at Babban Gona Agricultural Fr...,careersome,Nigeria,"Basic understanding of using data to drive decisions and data visualization.
Ability to build Microsoft Access data applications while using VBA and Macros."
1983,I.T Support Engineer at Sunnet Systems and Datacom Services...,careersome,Lagos,"Performing disaster recovery operations and data backups when required.
Sunnet Systems and Datacom Services Limited, an Information and Communications…"
1984,Sales Executive at Comercio Cloud Computing Limited,careersome,Lagos,"A graduate of Computer Science or other IT related courses.
Create frequent reviews and reports with sales and financial data.
Establish and meet sale goals."
1985,i-TAC Support Engineer at Halogen Security Company Limited,careersome,Lagos,"Voice, Data connectivity, Internet services, Wimax services etc.
Halogen Security Company Limited, a professional Security Solutions company, is recruiting to…"
1986,Android Developer at Access Solutions,careersome,Abuja,"A Bachelor's degree or its equivalent in Computer Science, Engineering or any other science related courses.
Translate designs and wireframes into high quality…"
1987,QA/QC Backend Validation Officer at Ikeja Electricity Distri...,careersome,Lagos,"Data reconciliation and review skills.
First degree in Social science/ Engineering.
Ikeja Electricity Distribution Company (IKEDC) - Buoyed by a mission to…"
1988,Human Resources Officer at The Chartered Institute of Person...,careersome,Lagos,"Manage employee records and data administration.
Degree in any relevant Social Science or Business degree.
The Chartered Institute of Personnel Management of…"
